c,r,lam,k3,k4,twice_lam,j,pr930_wall,removed_width,support_floor
230,63371,28667,96919,99517,57334,99517,136015,36498,172270
231,63370,28666,96918,99515,57332,99515,136010,36495,172269
232,63369,28665,96916,99512,57330,99512,136005,36493,172268
233,63368,28664,96914,99510,57328,99510,136000,36490,172266
234,63367,28663,96913,99508,57326,99508,135995,36487,172265
235,63366,28662,96911,99506,57324,99506,135990,36484,172263
236,63365,28661,96909,99504,57322,99504,135985,36481,172262
237,63364,28660,96908,99502,57320,99502,135980,36478,172260
238,63363,28659,96906,99500,57318,99500,135975,36475,172259
239,63362,28658,96904,99498,57316,99498,135970,36472,172257
240,63361,28657,96903,99496,57314,99496,135965,36469,172256
241,63360,28656,96901,99494,57312,99494,135960,36466,172254
242,63359,28655,96899,99492,57310,99492,135955,36463,172253
243,63358,28654,96897,99490,57308,99490,135950,36460,172251
244,63357,28653,96896,99487,57306,99487,135945,36458,172250
245,63356,28652,96894,99485,57304,99485,135940,36455,172249
246,63355,28651,96892,99483,57302,99483,135935,36452,172247
247,63354,28650,96891,99481,57300,99481,135930,36449,172246
248,63353,28649,96889,99479,57298,99479,135925,36446,172244
249,63352,28648,96887,99477,57296,99477,135920,36443,172243
250,63351,28647,96886,99475,57294,99475,135915,36440,172241
251,63350,28646,96884,99473,57292,99473,135910,36437,172240
252,63349,28645,96882,99471,57290,99471,135905,36434,172238
253,63348,28644,96881,99469,57288,99469,135900,36431,172237
254,63347,28643,96879,99467,57286,99467,135895,36428,172235
255,63346,28642,96877,99465,57284,99465,135890,36425,172234
256,63345,28641,96875,99462,57282,99462,135885,36423,172233
257,63344,28640,96874,99460,57280,99460,135880,36420,172231
258,63343,28639,96872,99458,57278,99458,135875,36417,172230
259,63342,28638,96870,99456,57276,99456,135870,36414,172228
260,63341,28637,96869,99454,57274,99454,135865,36411,172227
261,63340,28636,96867,99452,57272,99452,135860,36408,172225
262,63339,28635,96865,99450,57270,99450,135855,36405,172224
263,63338,28634,96864,99448,57268,99448,135850,36402,172222
264,63337,28633,96862,99446,57266,99446,135845,36399,172221
265,63336,28632,96860,99444,57264,99444,135840,36396,172219
266,63335,28631,96859,99442,57262,99442,135835,36393,172218
267,63334,28630,96857,99440,57260,99440,135830,36390,172216
268,63333,28629,96855,99437,57258,99437,135825,36388,172215
269,63332,28628,96853,99435,57256,99435,135820,36385,172214
270,63331,28627,96852,99433,57254,99433,135815,36382,172212
271,63330,28626,96850,99431,57252,99431,135810,36379,172211
272,63329,28625,96848,99429,57250,99429,135805,36376,172209
273,63328,28624,96847,99427,57248,99427,135800,36373,172208
274,63327,28623,96845,99425,57246,99425,135795,36370,172206
275,63326,28622,96843,99423,57244,99423,135790,36367,172205
